clue,exp,len
19. Fish cigarette out of front of sideboard (5)," GAPER GASPER(cigarette) without S(ideboard) 21. Released from nick in an unfit physical state (3,2,9) OUT OF CONDITION OUT OF(released from)+NICK(condition, as in ‘good nick’ e.g.) ",182
24. Work issue (7), PRODUCT dd ,12
"25. Unpaid, a wretched RU team (7)", AMATEUR A+(RU TEAM*) ,22
26. Call from Trier in Germany (4), RING hidden: trieR IN Germany ,31
"27. Eliminate king in another foreign country (5,5)", NORTH KOREA ((K.O.(eliminate)+R(king)) in (ANOTHER*) Down ,59
1. Female provided note from flute (4), FIFE F+IF(provided)+E(note) ,29
2. Rex Mason’s terribly extortionate prices (7)," RANSOMS R+(MASONS*) 3. Fat? Felt anxious, worried, uncertain about what should be done? (2,1,5,2,4) IN A STATE OF FLUX (FAT FELT ANXIOUS)* &lit nice synonymic anagram ",168
4. One serving Arthur during drinking spree (9), BAR TENDER ART in BENDER ,26
5. Drink containing very soft fruit (5)," APPLE PP(in music p=softly, pp=very softly) in ALE ",52
"7. Punishment? Why? (4,3)", WHAT FOR cdd ,14
"8. Good landlord’s blue tale (5,5)"," GHOST STORY G+HOST’S+TORY(blue) 9. Selfish remark from one fairly good sailor after start of manoeuvres (2,3,5,4) I’M ALL RIGHT JACK I+M(anoeuvres)+ALL RIGHT(fairly good)+JACK ",177
"13. Lout, old criminal, bundled into helicopter (10)", CLODHOPPER (OLD*) in CHOPPER great misleading anagrind ‘criminal’ ,67
16. Firm dates fixed quickly (9), STEADFAST (DATES*)+FAST ,25
"18. Rest brood, depressed (3,4)"," SIT DOWN SIT(brood, as in ‘sit on eggs’)+DOWN ",47
"20. Settler, one taking part in landing (7)", PIONEER I ON in PEER ONE in PIER ,34
22. Eclipse abroad to study (5), OUTDO OUT+DO(to study?) ,25
"1. Page one, suggestive of plagiarism (6)", PIRACY P+I+RACY(suggestive of) ,32
4. Swindle rascal detailed (4), SCAM SCAM(p) ,14
"8. Guildhall and gutted tollhouse building in a London street (7,4)", LUDGATE HILL (GUILDHALL+T[ollgat]E)* ,38
"10. Firmly fixed, including a dicky red rear lamp (4,5)"," TAIL LIGHT A+ILL(dicky, i.e. sick) in TIGHT ",45
"11. Member brought in beer, more than enough (5)", AMPLE MP in ALE ,17
12. Side’s advantage (4), EDGE dd ,9
13. Worker about to bury 50 in a remote country region (10)," HINTERLAND HAND around (INTER+L) 16. Drunk, he hints elf is actually present! (2,3,5) IN THE FLESH (HE HINTS ELF)* ",116
17. Catch that female pinching article (4), HEAR A in HER catch as in hearing something ,45
19. Small haven inside amphitheatre (5), HITHE hidden: ampHITHEatre ,28
"20. House members, ordinary people (9)", COMMONERS cdd ,15
"21. Geyser – veteran’s getting close (3,8)", OLD FAITHFUL OLD+FAITHFUL ,27
22. Forward’s second goal (4), SEND S+END forward [a letter e.g.]=send ,41
23. Split a piece of rubber in outhouse (6), SHARED A+R(ubber) in SHED Down ,32
"1. If cutting classes, schools may be turned into these occasionally (7,8)", POLLING STATIONS POLLING+STATIONS plus cd ,43
2. Problem with sieve (6), RIDDLE dd ,11
3. Greek poorly after fish from barbecue (9), CHARGRILL GR+ILL after CHAR ,29
"5. Check competitiveness once opener’s dismissed, and gentlemanliness (8)"," CHIVALRY CH+(r)IVALRY 6. I’ll keep silent in Emerald Isle, say, troubled about power (2,4,3,6) MY LIPS ARE SEALED (EMERALD ISLE SAY)* around P ",144
7. Crooked wager involving knight (4)," BENT N(knight in chess) in BET 9/10. Nervously signed thirteenth novel (6,2,3,5) TENDER IS THE NIGHT (SIGNED THIRTEENTH)* 10. See 9 ",133
"14. International’s trial marriage? (4,5)", TEST MATCH dd ,15
15. Labour politician about to stop close to elite public school (8), BENENDEN (tony)BENN around END+(elit)E ,40
18. Chest gets tender after cold (6), COFFER C+OFFER ,16
3A (9), n/a COMMUNISM (DEMOCRACY) Frenchmen at university taking part in function start to mellow / M (short for Monsieur – Frenchman) + UNI (university) in COS (function – cosine) + M (start of mellow). No definition. ,212
12A (5), S CANTO Slight ordinary part of poem / SCANT (slight) + O (ordinary) ,70
13A (3), O URE Unionist in mineral operation once / U (Unionist) in ORE (mineral) ,74
16A (3)," I CHA Beverage series of shops reduced / sort of deouble defn – CHAIN = series of shops, reduced to CHAI, CHA = tea (beverage) ",128
17A (5), D PODAL Strange article in Poland about feet / ODD (strange + A (article) in PL (Poland) ,90
18A (3), A OHM Old amateur unit showing resistance / O (old) + HAM (amateur) ,69
19A (3)," R EAR Unusually rare sense / anag (i.e. unusually) of RARE – ear menaing the sense, or power,of hearing ",105
20A (3), I ALL The whole Left is in trouble / L (Left) in AIL (trouble) ,64
21A (6)," T RETROD Active type’s coming back over dry run – put foot down again / TT (teetotal, or dry) + R (run) in DOER (active type) coming back ",139
23A (7)," Y STYPTIC Drawing together, agent at last working with City spy / anag (i.e. working) of CITY + SPY + T (last letter of AT) ",125
26A (4), B AREA Poor American piece of ground / BARE (poor) + A (American) ,67
29A (7)," E TIARAED With elaborate headgear, costly to return after match with Australia / TIE (match) with A (Australia) followed by DEAR (costly) returning ",149
31A (10)," R BEEKEEPING Rebuilt kneipe with good ale at first, aiming to produce honey, perhaps? / BEER (ale) followed by anag (i.e. rebuilt) of KNEIPE + G (good) ",153
33A (10), L ENERVATION Weakening veteran curiously associated with one famous / anag (i.e. curiously) of VETERAN with LION (famous person) ,130
34A (7)," I HETAERA Paramour, he has appeal before important date / HE + IT (sex appeal) + A (important, as in A-road?) + ERA (date)HE + IT (sex appeal) + A (abbrev. for ‘before’, in Chambers) + ERA (important date) ",207
36A (4)," N BOBA Wealthy person’s brought back yaws / NABOB (wealthy person) brough back 37A (7, hyphenated) W EWE-LAMB Twice we escape in US with British item (treasured) / WEWE (we twice) + LAM (American for escape) + B (British) ",223
39A (6)," A TABRIZ Asian city volunteers obstruct international zone / TA (Territotial Army, volunteers) + BAR (obstruct) + I (international) + Z (zone) ",144
41A (3)," L RHO Both sides accept house letter / R + L (right & left, both sides) with HO (house) inside ",96
43A (3)," L FRA Brother, feeble with no independence / FRAIL (feeble) less I (independent) ",82
45A (3), D ALI Laid out US heavyweight / anag (i.e. out) of LAID ,57
46A (5)," E IEUAN Welsh guy in European Union, one for Scots / I (in) + EU (European Union) + ANE (Scottish for ‘one’) ",110
47A (3), M ASP Mum’s special snake / MA (Mum) + SP (special) ,53
48A (5), O SENGA Spanish lady’s grand for Republican – she’s slender / SENORA (Spanish lady) with G (grand) for R (Republican) – SENGA being a Scottish name meaning‘slender one’ ,170
49A (3), S RYE Woeful years without a whisky / anag (i.e. woeful) of YEARS without A ,77
50A (5), I GILTS Stocks listing with no number is weird / anag (i.e. weird) of LISTING without N (number) ,98
51A (9)," n/a DEMOCRACY (COMMUNISM) Governor accepts money order (100 dollars) and returned vehicle / DEY (Algerian pasha, or governor) accepting MO (money order) + C (US slang for $100) + RAC (returned ‘CAR’, or vehicle) No definition.  Down Clue No Length Extra letter Solution (and entry, if different) Clue / Logic ",310
4D (5)," E OTHER (ETHER) Second Test not starting at this point / OT (MOT, or test, not starting) + HERE (at this point) ",113
8D (5)," I IMPLY (AMPLY) One politician’s unctuous, first to leave hint / I (one) + MP (politician) + WILY (unctuous, with the first letter leaving)I (one) + MP (politician) + OILY (unctuous, with the first letter leaving) ",215
10D (14)," V INALIENABILITY Initially naive boy at first misbehaving, State precluding removal / anag (i.e. misbehaving) of INITIALLY NAÏVE + B (boy, at first) ",150
14D (5)," E ROAST Strongly criticize nonsense, which includes ageism regularly / ROT (nonsense) holding AES (alternate letters of ‘ageism’) ",131
22D (6)," L TERETE Gnarled tree at foot of Arab hill? Smooth and cylindrical! / TEL (Arab hill) + anag (i.e. gnarled) of TREE 24D (5, hyphenated) V TIE-IN I have briefly pulled up interrupting metal connection / I’VE (I have, contracted, i.e. briefly) inside TIN (metal) ",262
25D (6), E TAILOR Awkward relation’s ignoring new person in the clothing business / anag (i.e awkward) of RELATION less N (new) ,120
27D (4), T NEVE Sporting competition going over snow / ‘reversed’ double defn – EVENT (sporting competition) going back = NEVE (surface snow on a glacier) ,147
28D (5)," R REARM Following beginning of revolutionary age, marines prepare for war again / R (beginning of revolutionary) + ERA (age) + RM (Royal Marines) ",147
30D (4)," E AEON Long time alone, learner’s gone for ecstasy / anag (i.e. gone) of ALONE, less L (learner) + E (ecstasy)substitution – ALONE, withL (learner) gone/changed to E (ecstasy) ",177
32D (8)," V GRAZIOSO South of Austrian city, six Roman mappers love playing gracefully / GRAZ (Swiss city) + VI (Roman numeral, six) + OS (Ordnance Survey, mappers) + O (nil, or love) ",175
35D (5), O ABRAY Ed’s to rouse wild boar? Indeed / anag (i.e. wild) of BOAR followed by AY (indeed) ,92
38D (5)," L ANNAM Lord Mayor receives old coin from India, protectorate once in Asia / LM (Lord mayor) receiving ANNA (Indian coin) – ANNAM being a former French protectorate inVietnam ",176
39D (5), U TAKER (TAKEN) He seizes seabird in Territory / TER (territory) with AUK (seabird) inside ,92
40D (5), T BASIC (BASIS) Plain white wine imported by British Columbia / BC (British Columbia) importing ASTI (white wine) ,115
41D (4)," n/a RISE Norse gods, first to leave, moving North / AESIR (Norse gods) without the first letter, and moving Northwards. Not defined ",133
42D (4)," I SAGE (SAGO) Talk over, that is wise / GAS (talk) over, followed by IE (id est, that is) ",91
43D (4), O FARO (FARM) Row in Foreign Office betting game / OAR (row) in FO (Foreign Office) ,85
4. Fool bagging pool – it leads to precursor of law on contract (9),  ASSUMPSIT (SUMP in ASS)+IT ,29
11. Bit of old weaponry with which fool historically captures Gascon town (7),  FAUCHON AUCH(Gascon town) in FON ,35
12. Squat mass fight in St Quentin? (4),"  RUCK three definitions RUCK1, RUCK4, one cryptic (St. Quentin=prison, RUCK3) ",79
13. Our lost ex-PM turning fat (4),  FLAB [Arthur] BALF(our)< ,27
14. Electronically linked group dispense with line? (6),  USENET USE+NET the proper name for the Internet newsgroup system ,67
15. Feature of the Alban hills? Lovely fairy seen in open dancing (8),  PEPERINO PERI in (OPEN*) ,27
"17. It had force of law in old Russia, as replacing shower in republic there? (5)",  UKASE AS replacing RAIN in UKRAINE 19. Cloudy in e.g. Genoa? The Scots disperse (5)  SCAIL C in SAIL(genoa is a type of sail) ,128
"21. Daughter, crazy about love with chap, Chinese (10)","  WOMAN-CHILD WILD around (O+MAN+CH(inese)) 22. E.g. Long John Silver, swilling some bitter (10)  TIMBER-TOES (SOME BITTER)* shiver me’ timbers ",144
24. Kiwi confined to region but not on inside (5),"  ENZED ENZ(on)ED pronouncation of the letters ‘NZ’, hence kiwi ",64
"26. Source of jute substitute, in texture napless (5)",  URENA hidden: textURE NApless ,32
28. Ordinary soldiers holding pouch for rifles (8),  RANSACKS SAC in RANKS ,24
"30. Piano song, new: Marble Like China (6)",  PARIAN P+ARIA+N ,18
31. Glim one consumed in manse’s kitchen? (4),  BUAT A in BUT(scottish kitchen) glim=lantern=buat(see bowat) ,63
"32. Matter involving pounds, advantageous (4)",  PLUS L(libra) in PUS ,23
"33. One gripped by greed, mistaken as disorder (7)","  DERANGE AN in (GREED*) 34. Contrariwise, fell younger viburnum (9, 2 words)  ROSE ELDER opposite words of FELL and YOUNGER Down ",130
"1. One causing diversion at Troon maybe, out of touch on the greens? (9)",  OFF-PUTTER OFF+PUTTER Scottish word hence ‘Troon’ and the pun on golf ,72
"2. Valley for river, Dee, leading to ploughed lea (4)",  DALE D+(LEA*) ,16
3. Native American? His woman losing son initially hugs father (6),  QUAPAW PA in (s)QUAW ,23
5. Poet’s bright extract from verses he recited (5),  SHERE hidden: verseS HE REcited Spenserian word=sheer ,56
"6. Hermit toils laboriously, following heretical doctrine (10)",  SOLITARIAN (TOILS*)+ARIAN ,28
7. Girl admits love for chef’s pastes (5),  MISOS O in MISS ,18
8. After wild caper the woman’s requiring one to deliver homily (8),  PREACHER (CAPER*)+HER ,24
9. Antelope: South African may show chart of a – – migrating (4),"  SUNI composite anagram: remove the letters of ‘CHART OF A’ from ‘SOUTH AFRICAN’ leaves (SUIN)* 10. I get cold round end of piste on which toboggans run (7, 2 words)  ICE HILL I+CHILL around (pist)E ",200
"14. Accidental marriage, loveless – cared for thereafter (10)","  UNINTENDED UNI(o)N+TENDED 16. Art models posed for piece of great art once (9, 2 words)  OLD MASTER (ART MODELS)* ",116
18. Detox? Amen – stand up for it (8),  SOBERISE SOBEIT with RISE replacing IT ,41
20. Gypsy element dominating salon’s centrepiece (7),  ZINCALO ZINC+(sALOn) ,23
23. Dunces playing all on the same side (6),  SECUND (DUNCES)* ,19
25. Infatuation after date was compelling of old (5),  DRAVE D+RAVE old past tense of drive ,39
26. Doubtful number having come out? Lost interest (5),  USURE U(n)SURE ,17
27. It roamed the plains of Europe- or primitive America? (4),  URUS the prefix UR- (primitive)+US ancient wild ox of Europe (see AUROCHS) ,77
"17 Responses to “Independent 7,530 by Klingsor”  beermagnet says:   December 3, 2010 at 11:40 am  13A PATRONYMIC Romantic piano works to include second item from Pyotr Ilyich perhaps (10)", (ROMANTIC P [p]Y[otr])* AInd: works Def: Ilyich perhaps ,57
10 LAHORE Go teaching once around a hot city (6), city: ins. {around} of A H (hot) in LORE (teaching once) RD ,61
11 UTS Introduction of drum tops hollow notes (3), notes: Um Tops {introduction} + NoteS {hollow} ,48
13 MELLOWS Matures snake won for prince (7)," matures: replacement of P (prince) for W (won) in ELLOPS (snake) 14 EN MASSE All together unchanged over empty site (7, 2 words) all together: <SAME (unchanged) {over} + SitE {empty} ",184
15 IRID Remove plant (4), plant: remove ON ,18
"17 EERIE Weirdo, nearly English, annoys endlessly (5)", weird: E (early) + E (English) + tRIEs (annoys) {endlessly} GA ,64
18 SUCKENER Draw Inga to admit heartless Scottish tenant (8), Scottish tenant: SUCK (draw in) + ENtER (to admit) {heartless} ,64
21 TEIAN Upset neat ancient Greek (5), Greek: NEAT* {upset} ,22
23 RECAP Go over again to cut down (5), go over again: to cut down RY ,31
26 SKREEN Partition empty shack a yard with last of masonry (6), partition: ShacK (shack) {empty} + REE (yard) + masoN {last of} AL ,68
28 ACHINESS A lace rim ultimately causes us pain (8),  pain: A (ace) + CHINE (rim) + causeS uS {ultimately} ,55
29 LEAL The French advance old faithful (4), old faithful: LE (the French) + A (advance) ,45
30 CHARKHA Australian break down chap stripped spinning wheel (7),"  spinning wheel: CARK (Australian ‘break down’) + cHAp 33 HARD ROE Harass mostly about dead mass of eggs (7, 2 words) mass of eggs: ins. {about} of D (dead) in HARROw (harass) {mostly} BE ",189
34 NAE Faculty president backs missing debate for Scottish denial (3)," Scottish denial: <DEAn (faculty president) {backs, missing date} RT ",69
35 OCTAVO Officer in Charge volunteers seer to book (6), book: OC (officer in charge) + TA (volunteers) + V (see) + O RA ,65
36 UNTURN Local one to run off sprain backwards (6), spin backwards: UNT (local ‘one’) + T (to) + RUN* {off} YM ,60
37 PARADOX Talk around my trouble with unknown contradiction (7), contradiction: <RAP (talk) {around} + ADO (trouble) + X (unknown) Down ON ,75
1 LATHERED Thrashed part of Kenton once embarrassed? (8), thrashed: LATHE (part of Kent) + RED (embarrassed) ,52
2 NOON Cut tip for Walter afterwards (4)," afterwards (!): NOOp (tip) {cut, for Walter = Scots} DM ",57
3 CRIMEA Caped mice start to attack peninsula! (6), peninsula: C (cape) + RIME (ice) + Attack {start} AR ,54
"4 KETA Retreating, some ate Arkansas salmon (4)"," salmon: <ATEKansas {retreating, some} ",39
"5 OHMS Resistance units turned over store, nearly (4)"," resistance units: <SHOp {turned over, nearly} CO ",50
6 FRESCADES SAS freed leader of Chilean coup for walks (9), walks: [SAS FREED + Chilean {leader}]* {up} ,45
7 MOLIÈRE French playwright’s spot on (7), French playwright: MOLE (spot) + RE (on) PI ,45
8 ADORNS Sets I pout about take in antipodean experts (6)," sets out: A (about) + ins. of R (take) in DONS (antipodean experts) (Thanks, Gaufrid.) ER ",91
9 ASS God primarily saves duller person (3), dull person: AS (god) + Saves {primarily} ,43
12 SERAI Khan has an important date (5)," khan: S (has) + ERA (important date) RE 16 DROP SERENE Endorse peer treated with recipe for John’s blindness (10, 2 words) John’s blindness: [ENDORSEPE + R (recipe)]* {treated} HE ",181
18 SMOKEHOOD Raised hems on changing hooked protective clothing (9), protective clothing: <MS {raised} + HOOKED* {changing} ST ,59
19 USERS Stone love-god evicting ordinary addicts (5), addicts: US (one) + ERoS (love-god) {evicting O (ordinary)} ON ,64
20 EASTWARD Noah’s top steward moved towards the rising sun (8), towards the rising sun: [Ah {top} STEWARD]* {moved} ,53
22 AMILDAR Manager in the middle of Arabia… (7), manager: AMID (in the middle of) + AR (Arabia) ,48
24 CHIAN …cut off gaping Greek island-dweller (5), Greek island-dweller: HIANt (gaping) {cut off} PI ,51
25 CHARTA Champion trick: I pare grant (6), grant: CH (champion) + ART (trick) + A (are) ER ,49
27 EWKING Localised itching’s beginning to endanger cattery in Grenada (6)," localised itching: Endanger {beginning} + ins. of KIN (catty) in WG (Grenada) (Thanks again, Gaufrid.) ",104
31 AERO Uncovered song about planes (4), about planes: cAROl (song) {uncovered} ,40
32 HUTU African settlement for Maoris (4), African: UTU (Maori ‘settlement’) RE ,38
"1. Ring number at place where actors may be filming (2,8)", ON LOCATION O+N+LOCATION ,26
6. See start of Schneider Trophy (4), SPOT S(chneider)+POT ,22
10. Device used by sailors on Ark Royal (5), SONAR hidden: sailorS ON ARk ,30
11. Boastful talk in front of groom as deacon prepared (9), GASCONADE G(room)+(AS DEACON*) the root of this word comes from Gascon in France ,82
12. Local lingo in citadel abroad (7), DIALECT (CITADEL)* ,20
"13. Young child being led, trod awkwardly (7)", TODDLER (LED TROD)* ,21
"14. Derogatory post in section of newspaper (8,6)"," PERSONAL COLUMN PERSONAL+COLUMN(post) ‘personal’ can mean ‘aiming at offensively’, hence ‘derogatory’ ",103
"18. Such as dates that can’t be kept? (9,5)", FORBIDDEN FRUIT sort of cryptic definition ,44
"20. Trendy drink, one had by daughter in flat (7)", INSIPID IN+SIP+I+D ,20
23. Audible cries of disapproval at college drinking spree (5-2), BOOZE-UP homophone of BOOS+UP ,31
"24. Among other things, bury one in a US city (5,4)", INTER ALIA INTER(bury)+A+(I in LA) ,36
"25. Woman with husband leaving Japanese dish, last of nine (5)", SUSIE SUS(h)I+(nin)E ,22
26. Poet dropping in to play a prank (4), LARK LARK(in) see this poet here ,34
"27. Behind me, a lush fumbled with the wine bottle (10)", METHUSELAH (A LUSH+THE*) after ME Down ,40
"1. Working towards the same goal, team gives forward support (6)"," ONSIDE SIDE(team) after ON(forward) ‘support’ here means ‘after’ as it is a down light 2. Listen and learn, dean ordered (4,2,3) LEAD AN EAR (LEARN DEAN)* ",156
"3. Reprimand fielders in unsuitable footwear for cricket (6,8)"," CARPET SLIPPERS CARPET(reprimand)+SLIPPERS(as in cricket, slip catchers) strange definition ‘unsuitable footwear for cricket’? ",128
"4. Tensed, screwed up? (9)", TIGHTENED dd ,14
5. Attack from the start (5), ONSET dd ,10
7. Pawn nobleman’s precious stone (5), PEARL P+EARL ,14
"8. Bother about closing of station by NY borough (3,5)"," THE BRONX (BOTHER*)+(statio)N+X(by, as in measures, a plank of wood ‘6 by 4’ = ‘6 x 4’) 9. The groom may wait a moment (4,4,6) HOLD YOUR HORSES cdd a groom may well indeed hold your horses ",190
"15. Be eager to land in US naval base (4,5)", LONG BEACH LONG+BEACH ,23
16. Worldwide valuers in resort (9), UNIVERSAL (VALUERS IN)* ,25
17. Refuse to entertain ICI functionary (8), OFFICIAL ICI in OFFAL ,23
"19. Giving address, look round quiet church (6)", SPEECH (SEE around P)+CH ,26
11A VERDIN M Stall American bird after exciting drive north (6), / anag (i.e. exciting) of DRIVE + N (North) ,45
12A BONIE J American guy’s name that is folly poetically speaking (5)," / BO (US familiar term for ‘man’) + N (name) + IE (that is) 14A ENNU(I) N Not gripped by this brazen nuisance? Yes and no (4) / hidden word in ‘brazEN NUIsance’, and whole clue as definition 15A (E)NDEW U Formerly, pat on butt we returned (4) / END (butt) + EW (we, returned), ENDEW being Spenserian version of ENDUE, to put on – as in clothes ",345
17A SONG S Furs that will do no good (4), / SO (that will do) + NG (no + good) ,38
"23A COTTIERS O Stewing rice so, without teetotaller, they lived in cut (8)"," / TT (teetotaller) in anag (I.e. stewing) of RICE SO – ‘cot’ being an archaic term for a feudal dwelling, or cottage 26A SATURNIC N Not well (elementary poisoning) become giddy in ketch (8) / TURN (become giddy) in SAIC (boat, or ketch) – SATURNIC meaning suffering from lead-poisoning 29A DWEL(L) I Switch lustful lecturer’s abode (4) / DWEL (lewd, switched) + L (lecturer) ",376
31A TIMBO N Plait section of filament I’m bobbing (5), / hidden word in ‘filamenT I’M BObbing’ ,41
"34A ERSE T Tongue of Irish origin is brusque, lacking tense (4)", / TERSE (brusque) without T (tense) ,37
35A STIR G Scratches returned where one gets banded up (4)," / double defn/reversal – RITS being scratches, STIR (jail) where one is ‘banged up’ 36A ORGI(A) O Secret rites e.g. in warship from republic, exporting germanium (4) / GEORGIA (republic) less GE (germanium) 38A (A)VISO A Ancient notification from car rental company, Ohio (4) / AVIS (rental company) + O (Ohio) – AVISO being an obsolete word for a notification ",362
39A ACCOY U Still Edmond’s choke’s left out (5)," / ACCLOY (Spenserian for choke, or encumber) minus L (left, out) ",66
40A GUNITE T Concrete shop in position’s first for grocer’s combine (6)," / G (first letter of grocer) + UNITE (combine) – GUNITE being concrete shot in a fine spray 41A RENE(W) S Get out again with Frenchman leading (4) / RENE (French man) leading W (with) 42A (O)TOLITH R Reading excerpt, go to Lithuania for bone (6) / hidden word (i.e. excerpt) in ‘gO TO LITHuania’ ",297
43A SAICES I In India they drove one case out before second (6)," / anag (i.e. out) of I (one) and CASE, before S (second) – a SAICE, or syce, being a chauffeur in India     /  Down Clue No Solution (outside letter in brackets) Misprint/Initial Clue (misprinted letter bold and underlined) / Logic ",233
1D THIN D Rarefies matter ignoring Gauss (4), / THING (matter) without G (Gauss) 2D (C)HEDDAR E Where you’ll find raving lunatic Eddy (and Archy – both short of a full set!) (6) / anag (i.e. lunatic) of EDDy and ARCHy (both one letter short) 3D (A)LLOW A Grunt from everyone with a cry of pain (4) / ALL (everyone) + OW (cry of pain) ,289
"4D MANIAC N Mutter ‘Wild animal’s not left, see’ (6)", / anag (i.e. wild) of ANIMAL without L (left) followed by C (see) 5D (P)AVILION D Grant tent soft site secondly in Oval ground (7) / P (soft) + anag (i.e. ground) of IN OVAL and I (second letter of site) ,205
6D GEESE M Dig people and get on well with losers essentially (5)," / GEE (US to get on well with) + SE (middle letters, or essence, of LOSERS) ",77
7D ADENOID C Crack done inside to help nasal tissue (7)," / anag (i.e. crack) of DONE in AID (to help) 8D (T)ONNAG A It covers loss in Scotland from fasionable people’s horse (5) / TON (fashionable people) + NAG (horse) – TONNAG being a Gaelic word for ‘shawl’ 9D (A)RDUOUSLY Y Steeple difficult to climb, as your lud’s set out (8) / anag (i.e. set out) of AS YOUR LUD ",312
13D COPT T Talked about arrested Egyptian Christian (4), / homophone of COPPED (arrested) and COPT (Egyptian Christian) ,64
16D ETAT B Jody of political organisation and Basque separatists supported by Thailand (4)," / ETA (Basque separatists) + T (Thaland) 18D AESTIVAT(E) E State, ‘I’ve a novel’ and pass the summer rusting! (8) / anag (i.e. novel) of STATE I’VE A 22D SUBTONI(C) I In scale, leading note’s slower than sound using tenor for soprano (7) / SUBSONIC (slower than sound) with middle S (soprano) changed to T (tenor) ",315
24D TIERCES S One in arcane uprising carks (7), / I (one) in SECRET (arcane) rising ,37
25D EWER O Uninitiated drain large pit required to hold water (4)," / SEWER (drain) without first letter, i.e. uninitiated ",56
27D ROIL M Take bribe and rove in a disturbed manner (4)," / R (abbreviation of Latin ‘recipe’ – take) & OIL (bribe) 28D CRUCIA(N) C Carp’s very good, disregarding length, note (6) / CRUCIAL (very good) disregarding L (length) for N (note) 30D ENGINE(R) E Will’s designer of sowers e.g. in green plastic (6) / anag (i.e. plastic) of IN GREEN ",284
32D INIGO T Bop architect Jones and steal diamonds from plant (5), / INDIGO (plant) without D (diamonds) – leaving Inigo Jones – ‘top’ architect ,79
33D WRATH I Ore with hot bituminous substance’s dug up (5)," / W (with) + RAT (bituminous substance, tar, up) + H (hot) 36D OORI(E) M Ring gold that’s gloopy in Perth (4) / O (ring) + OR (gold) + IE (that is) ",149
9. Reversal of fortune cut short with a versatile crop? (4)," SOJA JOS(s)<(luck or fate) + A alternative spelling of ‘SOYA’ the ‘gotcha’ clue, as the solver needs to work this out and not guess to get it correct as the ‘j’ is an unch my last answer in the grid ",200
10. Old highwayman grabbing excellent dye (7), PARA-RED RARE in PED2 ,23
11. Stop a doughboy beginning to enter US submarine (6), HOAGIE HOA(stop)+GI(doughboy=US infantryman)+E a ‘hoagie’ is another name for a submarine sandwich in the US ,110
12. Shore station divided by river (6), STRAND R in STAND ,19
14. Wanting to slaughter lots half disposed of in a mass? (6), BLOODY LO(ts) in BODY ,23
17. One avenue’s opening separating trees arranged in rows (7)," SERIATE I(one)+A(venue) in (TREES*) at a first quick glance, ‘terrace’ seems to be the answer here ",100
18. Riding wear for men (5), CHAPS sort of cdd so easy it was hard! ,40
19. Death limiting lives? You can’t — that! (6), RESIST IS in REST; &lit? ,26
20. Nickelodeon? Make flicks having turned nickel in (6), KINEMA (Ni<) in (MAKE*) ‘nickleodeon’ implies an old word for cinema ,70
24. Unruly miss takes in soft fools (5)," SIMPS P in (MISS*) short for ‘simpleton’ – also one of the hints to the theme, if I am correct ",96
"26. Measure that’s sad, truncated – one aims to influence policy (7)", ENTRIST EN(a measure in printing)+TRIST(e)(sad) see under ‘entry’ in Chambers ,79
29. Blurred mirage? One records mental pictures (6), IMAGER (MIRAGE)* so simple it leads one to think it isn’t right when solved ,77
30. Eye candy satisfactory in tricky role (6)," LOOKER OK in (ROLE*) 31. Rosencrantz’s end in Hamlet (he expires)? (6) LETHEE hidden: HamLET (HE Expires) Shakespearean word for death (see under ‘lethal’ in Chambers), hence the ref. to Rosencrantz and Hamlet; &lit, I guess ",226
32. Antoine’s strong baccy in top of the mouth (7)," CAPORAL CAP+ORAL a type of tobacco with ‘Antoine’ as the reference to it being French 33. Naan’s toasted on this maybe, taken as vindaloo arrives (starters only) (4) TAVA first letters an Indian cooking griddle (see TAWA2) ",224
34. Dicky tummy and spleen’s caused by high-pressure aircon (12)," PLENUM SYSTEM (TUMMY SPLEENS)* an air conditioning system – this is two words, so should be clued (6, 6) I think Down ",119
1. Deer served in large meat-plate – this’ll collect the refuse (9), ASH-BUCKET BUCK in ASHET(a meat-plate) ,40
2. Altered cloth? Nothing in it for country chill (6), COOLTH O in (CLOTH*) dialect word for coolness 3. Turning up (on board the Pequod?) to call on small grotesque figure (5) MAGOT (TO GAM)< a whaler’s call ‘reversed’ hence ref. to the Pequod ,191
"4. Eros in mind, smitten? It may give point for writer (10)"," IRIDOSMINE This appears to be an error in the intended anagram of ‘EROS IN MIND’, as I can’t see how else this clue is supposed to parsed. IRIDOSMINE is used to make pen nibs ",176
"5. Oxygen, say, given to person, one breathing with difficulty (6)", GASPER GAS+PER 6. Flour (wheat) well mixed? Hew out this Scotch cake maybe (4) FARL comp. anagram: (FLOUR WHEAT*) minus the letters ‘HEW OUT’ = (FLRA*) ,153
7. You’ll need to rattle object inside jagged rock to find this big fish (8), ARAPAIMA RAP+AIM in AA(a type of volcanic jagged rock) ,56
8. End of rope held by men for she-asses (6)," GENETS E in GENTS same word as Jenny, female ass/donkey 10. As of old, weight settles (so it’s said) (5) PEYSE homophone of PAYS(i.e. settles) Chambers lists various spellings of this word, all pronounced the same, so the solver has to complete the adjoining lights to get the intended correct spelling ",304
13. Restyle IOM differently so as to annoy? (10), TIRESOMELY (RESTYLE IOM*) this clue just shouts ‘I am an anagram’ ,67
